text,label
钱其琛宣布中国方面已提名中国驻南非研究中心主任王学贤为中国驻南非首任大使南非方面已同意中方的提名,科技
恩佐宣布南非总统曼德拉已任命南非驻中国研究中心主任戴克瑞为首任驻华大使,科技
有关经贸合作问题钱其琛说中国南非同属发展中国家又都面临着发展经济的任务中国愿意在住房教育交通和通讯等方面同南非合作中国在南非投资合作前景可观,教育
中国驻突尼斯大使吴传福１２月３０日代表中国政府向突尼斯全国互助基金无偿提供了价值３００万人民币的录像机照相机电脑以及各种球类等体育用品和设备本报专电,体育
在遭受严重自然灾害的情况下依靠科技减灾保证农业生产吉林省去年粮食总产超过２００亿公斤是历史上第四个丰收年这是公主岭市怀德粮库正在收粮蒋林摄,科技
我国的国有企业改革见成效位于河南的中国一拖集团有限责任公司面向市场积极调整产品结构加快技术改造和新产品研制步伐图为东方红牌履带拖拉机生产线赵鹏摄,科技
为鼓励中学生多听多讲普通话香港普通话台近期在５所中学举办２２次学校普通话广播室活动这是播音员陈曦左与福建中学学生在进行直播,教育
承百年报国志做世纪栋梁材北大学生举行宣誓仪式,教育
祝愿祖国明天更加繁荣昌盛香港大学生在京度佳节,教育
新华社北京１月１日电江涛曹斌昨晚第一次来到首都北京的５０多名香港大学生和北京航空航天大学的同学们在歌唱祖国的歌声中一起迎接１９９８年的到来,教育
今天早晨香港大学生顶着寒风在天安门广场参加了庄严的升国旗仪式当五星红旗冉冉升起的时候许多同学情不自禁地唱起了国歌大家祝愿祖国明天更加繁荣昌盛,教育
国家体委主任伍绍祖中共上海市委副书记龚学平等领导和群众一起参加了登高活动并为比赛举枪发令,体育
国家体委副主任张发强说京沪两地新年登高活动为开展全民健身树立了一面旗帜通过这一活动号召全国人民参加各种形式的体育锻炼培养敢于向艰难险阻挑战的精神,体育
本报讯据中央气象台提供的信息１９９８年元月上旬影响我国的冷空气势力将加强,科技
待到山花烂漫时记花鸟画家美术教育家孙其峰先生附图片１张,教育
她们是两代人年近６０岁的丁玉珍和胡花蕊同志已经退休２２岁的孔玲则在中国人民大学法学院攻读硕士学位她们是应邀参加中宣部召开的先进典型代表座谈会相聚在一起的,教育
以加快结构调整和科技进步为重点转变经济增长方式北大荒人实行洼地种洼田旱田改水田水稻玉米等作物在北大荒一举成为当家品种,科技
节前的文化科技卫生三下乡活动图片,科技
新年前夕南京市科教文卫系统及法律农资等部门２３０多人组成的文化科技卫生三下乡慰问团来到溧水县柘塘镇图为下乡演出队为农民群众表演歌舞节目新华社记者孙参摄,科技
首都千余名大中小学生雅乐伴随度新年,教育
电子眼在深圳街头一露脸就形成冲击波震动了全市４０余万机动车驾驶员使深圳向安全畅顺文明的交通环境迈出了有力的一步,科技
１月２日上午记者驾车在深圳的几条主干道上缓缓行驶在３９个主要路口以及口岸广场等地５８个电子眼呈不同角度默默地注视着潮水般的车流,科技
市交管局立下规章被查控违章录入电脑后任何人无权取消一律通过媒体曝光电子警察露脸近８个月来市交管局未接到一宗对电子警察的投诉,科技
电子警察参与该市交通管理后路口的违章率平均下降达４５％以上从今年１月１日开始笋岗路原有的４个交通指挥岗亭全部撤除路不见岗亭将逐步推行到全市各主要干道,科技
