id,name,label,description,aliases,url,command,code
P001,CUDA不可用,Problem,torch.cuda.is_available() 返回 False，PyTorch 无法检测到 GPU。,CUDA 不可用|cuda 不可用|CUDA not available|GPU 不可用,,,
P002,CUDA显存不足,Problem,训练或推理时出现 CUDA out of memory 错误，GPU 显存耗尽。,CUDA OOM|out of memory|显存不足|OOM,,,
P003,PyTorch安装版本问题,Problem,安装的 PyTorch 是 CPU 版本而非 CUDA 版本，或版本与 CUDA 不兼容。,安装版本问题|CPU 版本|版本不兼容,,,
P004,DataLoader参数问题,Problem,DataLoader 参数设置不当导致数据加载效率低或出错。,DataLoader 参数|batch_size 问题,,,
P005,DataLoader多进程问题,Problem,DataLoader 使用多进程(num_workers>0)时的兼容性问题，尤其在 Windows 上。,多进程问题|BrokenPipeError|multiprocessing,,,
P006,模型保存问题,Problem,如何正确保存 PyTorch 模型，包括整个模型和 state_dict 的区别。,保存模型|torch.save|模型保存,,,
P007,模型加载问题,Problem,如何正确加载 PyTorch 模型，包括跨设备加载和 map_location 的使用。,加载模型|torch.load|模型加载,,,
P008,state_dict不匹配,Problem,加载模型时 state_dict 的 keys 不匹配，包括 Missing keys 和 Unexpected keys。,state_dict mismatch|keys 不匹配|Missing keys|Unexpected keys,,,
P009,torch.load安全问题,Problem,torch.load 使用 pickle 反序列化，加载不信任来源的模型文件存在安全风险。,加载安全|weights_only|pickle 安全,,,
P010,CrossEntropyLoss输入问题,Problem,CrossEntropyLoss 对输入 logits 和 target 的维度、类型有特定要求。,CrossEntropyLoss 维度|交叉熵输入|target size,,,
E001,CUDA out of memory,Error,RuntimeError: CUDA out of memory. Tried to allocate ... GPU 显存已耗尽。,OOM|显存溢出,,,
E002,no CUDA-capable device is detected,Error,RuntimeError: No CUDA-capable device is detected. 系统未检测到支持 CUDA 的 GPU。,无 CUDA 设备,,,
E003,BrokenPipeError in DataLoader,Error,Windows 上 DataLoader 多进程使用时可能触发 BrokenPipeError。,BrokenPipeError,,,
E004,Error(s) in loading state_dict,Error,加载 state_dict 时出现 key 不匹配错误，Missing keys 或 Unexpected keys。,state_dict 加载错误,,,
E005,expected scalar type Long but found Float,Error,CrossEntropyLoss 的 target 需要 LongTensor，但传入了 FloatTensor。,dtype mismatch|Long vs Float,,,
A001,torch.cuda.is_available,API,检查 CUDA 是否可用，返回 bool 值。,is_available,,,
A002,torch.version.cuda,API,返回 PyTorch 编译时使用的 CUDA 版本号。,version.cuda,,,
A003,torch.cuda.empty_cache,API,释放 PyTorch 缓存的显存，不释放 tensor 占用。,empty_cache,,,
A004,torch.cuda.memory_allocated,API,返回当前已分配的 GPU 显存字节数。,memory_allocated,,,
A005,torch.cuda.memory_summary,API,打印详细的 CUDA 显存使用报告。,memory_summary,,,
A006,torch.save,API,将对象序列化保存到文件，底层使用 pickle。,save,,,
A007,torch.load,API,从文件加载序列化的对象，支持 map_location 和 weights_only 参数。,load,,,
A008,torch.nn.CrossEntropyLoss,API,交叉熵损失函数，结合 LogSoftmax 和 NLLLoss。,CrossEntropyLoss,,,
